x  p(x)  	I(x)  	I_bar
-------------------------------
a  0.06875  	3.8625	0.36
b  0.03125  	5.0	0.2
c  0.01875  	5.737	0.13
d  0.00625  	7.3219	0.05
e  0.16875  	2.567	0.65
f  0.03125  	5.0	0.2
g  0.0125  	6.3219	0.1
h  0.04375  	4.5146	0.26
i  0.075  	3.737	0.38
j  0.0  	inf	nan
k  0.03125  	5.0	0.2
l  0.06875  	3.8625	0.36
m  0.04375  	4.5146	0.26
n  0.075  	3.737	0.38
o  0.0125  	6.3219	0.1
p  0.0125  	6.3219	0.1
q  0.0  	inf	nan
r  0.06875  	3.8625	0.36
s  0.0625  	4.0	0.34
t  0.08125  	3.6215	0.41
u  0.05  	4.3219	0.29
v  0.0  	inf	nan
w  0.01875  	5.737	0.13
x  0.0  	inf	nan
y  0.00625  	7.3219	0.05
z  0.0125  	6.3219	0.1
